,NOM,CAPITALE
0,Afghanistan,Kaboul
1,Afrique du Sud,Prétoria
2,Albanie,Tirana
3,Algérie,Alger
4,Allemagne,Berlin
5,Andorre,Andorre-la-Vieille
6,Angola,Luanda
7,Antigua-et-Barbuda,Saint John's
8,Arabie saoudite,Riyad
9,Argentine,Buenos Aires
10,Arménie,Erevan
11,Australie,Canberra
12,Autriche,Vienne
13,Azerbaïdjan,Bakou
14,Bahamas,Nassau
15,Bahreïn,Manama
16,Bangladesh,Dacca
17,Barbade,Bridgetown
18,Belgique,Bruxelles
19,Bélize,Belmopan
20,Bénin,Porto-Novo
21,Bhoutan,Thimphou
22,Biélorussie,Minsk
23,Birmanie,Naypyidaw
24,Bolivie,Sucre / La Paz
25,Bosnie-Herzégovine,Sarajevo
26,Botswana,Gaborone
27,Brésil,Brasilia
28,Brunei,Bandar Seri Begawan
29,Bulgarie,Sofia
30,Burkina,Ouagadougou
31,Burundi,Gitega
32,Cambodge,Phnom Penh
33,Cameroun,Yaoundé
34,Canada,Ottawa
35,Cap-Vert,Praia
36,Centrafrique,Bangui
37,Chili,Santiago
38,Chine,Pékin
39,Chypre,Nicosie
40,Colombie,Bogota
41,Comores,Moroni
42,Congo,Brazzaville
43,République démocratique du Congo,Kinshasa
44,Îles Cook,Avarua
45,Corée du Nord,Pyongyang
46,Corée du Sud,Séoul
47,Costa Rica,San José
48,Côte d'Ivoire,Yamoussoukro
49,Croatie,Zagreb
50,Cuba,La Havane
51,Danemark,Copenhague
52,Djibouti,Djibouti
53,République dominicaine,Saint-Domingue
54,Dominique,Roseau
55,Égypte,Le Caire
56,Émirats arabes unis,Abou Dabi
57,Équateur,Quito
58,Érythrée,Asmara
59,Espagne,Madrid
60,Estonie,Tallinn
61,Eswatini,Mbabané
62,États-Unis,Washington
63,Éthiopie,Addis Abeba
64,Fidji,Suva
65,Finlande,Helsinki
66,France,Paris
67,Gabon,Libreville
68,Gambie,Banjul
69,Géorgie,Tbilissi
70,Ghana,Accra
71,Grèce,Athènes
72,Grenade,Saint-Georges
73,Guatémala,Guatémala
74,Guinée,Conakry
75,Guinée équatoriale,Malabo
76,Guinée-Bissao,Bissao
77,Guyana,Georgetown
78,Haïti,Port-au-Prince
79,Honduras,Tégucigalpa
80,Hongrie,Budapest
81,Inde,New Delhi
82,Indonésie,Jakarta
83,Irak,Bagdad
84,Iran,Téhéran
85,Irlande,Dublin
86,Islande,Reykjavik
